#prefix    poi1    poi2    value
topic_rev_poi   9977193541978760286    18012202574307917823     0.3   0.5   0.4
topic_rev_poi   9977193541978760286    12313225205891489106     1.0
topic_rev_poi   9977193541978760286    18119621412888245380     0.7
topic_rev_poi   9977193541978760286    2071168565446484381      0.3
topic_rev_poi   9977193541978760286    11710154692952313709     0.3
topic_rev_poi   97725670051042825      3455455555554568890      0.2   1.0
topic_rev_poi   97725670051042825      1264468492555555555      0.7
topic_rev_poi   97725670051042825      1264468492548046847      0.3
rule_sim_poi    10004434638009044588   1259799566744551423      0.033    0     0     0
rule_sim_poi    10004434638009044588   11123334861849599032     0.028    0     0     0
rule_sim_poi    10004434638009044588   1265442767224438783      0.023    0     0     0
rule_rev_poi    10018581952589982316   1263213863881408511      0.3      0     2.1   2.1
rule_sr_poi     10017172940604359437   17851252106569187327     0.6    1.8     0.0   2.4
rule_sr_poi     10017172940604359437   17659761101346177023     0.3    0.0     2.1   2.1
topic_sim_poi   10011643256668115755   5026498080748631254      0.3
topic_sim_poi   10011643256668115755   16665388941293091536     0.3
topic_sr_poi    10090259186480701187   4264384871892547789      0.3
topic_sr_poi    10090259186480701187   18014588673453981695     0.3
topic_sr_poi    10090259186480701187   15586078841391410201     0.3
topic_sr_poi    10090259186480701187   1266102942352539647      0.3
topic_sr_poi    10090259186480701187   12459090306594030442     0.3
topic_sr_poi    40000023434343434334   23209876544356767899     0.3   a    b
